,2017 Rank,City,State,County / borough,Population(2017 est.)[4],Metro,Notes
0,1,Los Angeles,California,Los Angeles,3999759,13131431.0,Largest city in California
1,2,San Diego,California,San Diego,1419516,3317749.0,
2,3,San Jose,California,Santa Clara,1035317,1998463.0,Located within the San Francisco Bay Area
3,4,San Francisco,California,San Francisco,884363,4727357.0,
4,5,Seattle,Washington,King,724745,3733580.0,Largest city in Washington
5,6,Portland,Oregon,Multnomah,647805,2389228.0,Largest city in Oregon
6,7,Fresno,California,Fresno,527438,972297.0,
7,8,Sacramento,California,Sacramento,501901,2149127.0,
8,9,Long Beach,California,Los Angeles,469450,13131431.0,Located within the Los Angeles metropolitan area
9,10,Oakland,California,Alameda,425195,,
10,11,Bakersfield,California,Kern,380874,839631.0,
11,12,Anaheim,California,Orange,352497,,Located within the Los Angeles metropolitan area
12,13,Santa Ana,California,Orange,334136,,Located within the Los Angeles metropolitan area
13,14,Riverside,California,Riverside,327728,,
14,15,Stockton,California,San Joaquin,310496,726126.0,
15,16,Anchorage,Alaska,Anchorage,294356,401635.0,Largest city in Alaska
16,17,Irvine,California,Orange,277453,,Located within the Los Angeles metropolitan area
17,18,Chula Vista,California,San Diego,270471,,Located within San Diego metropolitan area
18,19,Fremont,California,Alameda,234962,,
19,20,Spokane,Washington,Spokane,217300,556634.0,
